id,location,total_jobs,total_jobs_rel,other_job_types,other_job_types_rel,fulltime_employees,fulltime_employees_rel,fulltime_contractors,fulltime_contractors_rel,parttime_employees,parttime_employees_rel,avg_yearly_salary_lower,avg_yearly_salary_upper,pseudo_avg_yearly_salary,avg_hourly_wage_lower,avg_hourly_wage_upper,pseudo_avg_hourly_wage,population
15,Hawaii,21,0.014959402215797,1,0.000712352486467,20,0.01424704972933,0,0,0,0,0,0,0,0,0,0,1420491
16,Idaho,49,0.028319371490282,1,0.000577946356945,45,0.026007586062503,3,0.001733839070834,0,0,75000,175000,125000,9,27,18,1754208
17,Illinois,556,0.04423616427647,11,0.000875175911945,422,0.033574930440055,103,0.008194828993663,20,0.001591228930808,66802.4651162791,94571.5824175824,80687.0237669307,26.125,33.1304347826087,29.6277173913043,12741080
18,Indiana,178,0.026991811541656,5,0.000758196953417,144,0.021836072258419,20,0.003032787813669,9,0.001364754516151,50232.0571428571,70287.0882352941,60259.5726890756,12.7272727272727,16.2727272727273,14.5,6691878
19,Iowa,69,0.022247892919433,3,0.000967299692149,57,0.018378694150836,5,0.001612166153582,4,0.001289732922866,55546.5454545455,72820,64183.2727272727,20,15,17.5,3156145
20,Kansas,92,0.032023482232517,6,0.002088487971686,70,0.024365693003002,9,0.003132731957529,7,0.0024365693003,51823.0769230769,68300,60061.5384615385,17.3333333333333,24.4,20.8666666666667,2911505
21,Kentucky,109,0.0247318229931,4,0.000907589834609,79,0.017924899233531,18,0.004084154255741,8,0.001815179669218,61600,82466.6666666667,72033.3333333333,21.6363636363636,21.8,21.7181818181818,4468402
22,Louisiana,202,0.043882934024454,2,0.000434484495292,188,0.040841542557413,4,0.000868968990583,8,0.001737937981167,55846.1538461538,75461.5384615385,65653.8461538462,14,16,15,4659978
23,Maine,21,0.016081357381981,1,0.000765778922951,17,0.013018241690175,1,0.000765778922951,2,0.001531557845903,65000,75000,70000,22,22,22,1338404
24,Maryland,95,0.015901420258009,1,0.000167383371137,84,0.014060203175503,10,0.001673833711369,0,0,57333.3333333333,82733.3333333333,70033.3333333333,19.1666666666667,22.6666666666667,20.9166666666667,6042718
25,Massachusetts,455,0.066685054534532,10,0.001465605594166,371,0.054373967543541,63,0.009233315243243,11,0.001612166153582,78413.5362318841,105581.360294118,91997.4482630009,23.4444444444444,32.5135135135135,27.978978978979,6902149
26,Michigan,129,0.01308416967692,0,0,100,0.010142767191411,23,0.002332836454024,6,0.000608566031485,66419.96,80691.3333333333,73555.6466666667,23.625,32.125,27.875,9995915
27,Minnesota,213,0.038379037785569,6,0.001081099655932,160,0.028829324158174,36,0.006486597935589,11,0.001982016035874,54357,63188,58772.5,32.3125,37.5882352941176,34.9503676470588,5611179
28,Mississippi,83,0.028248733602211,6,0.002042077127871,73,0.024845271722426,2,0.000680692375957,2,0.000680692375957,50555.5555555556,88000,69277.7777777778,0,35,17.5,2986530
29,Missouri,177,0.02930656634863,2,0.000331147642357,152,0.025167220819162,18,0.002980328781217,5,0.000827869105894,49969.625,76515.3714285714,63242.4982142857,14.75,17.3846153846154,16.0673076923077,6126452
30,Montana,10,0.009572236536894,0,0,10,0.009572236536894,0,0,0,0,50000,60000,55000,0,0,0,1062305
31,Nebraska,57,0.030103033522921,2,0.001056246790278,53,0.027990539942365,2,0.001056246790278,0,0,0,0,0,12,20.5,16.25,1929268
32,Nevada,192,0.063925892698559,23,0.007657789229515,136,0.045280840661479,10,0.00332947357805,23,0.007657789229515,56287.5454545455,77948.7647058823,67118.1550802139,18.4444444444444,20.2222222222222,19.3333333333333,3034392
33,New Hampshire,19,0.014194926376662,0,0,15,0.01120652082368,4,0.002988405552981,0,0,61666.6666666667,71666.6666666667,66666.6666666667,12.75,15.25,14,1356458
34,New Jersey,300,0.034161141544304,7,0.0007970933027,223,0.0253931152146,66,0.007515451139747,4,0.000455481887257,60598.0806451613,87904.935483871,74251.5080645161,25.0555555555556,28.7368421052632,26.8961988304094,8908520
35,New Mexico,17,0.008265550279476,0,0,15,0.007293132599538,1,0.000486208839969,1,0.000486208839969,72500,88500,80500,45,46,45.5,2095428
36,New York,267,0.013838441450291,14,0.000725611162188,204,0.010573191220447,42,0.002176833486563,7,0.000362805581094,55470.1454545455,74689.1636363636,65079.6545454545,23.8421052631579,29.6842105263158,26.7631578947368,19542209
37,North Carolina,249,0.024290312333111,8,0.000780411641224,201,0.019607842485764,37,0.003609403840663,3,0.000292654365459,50736.5294117647,117938.571428571,84337.5504201681,27.0714285714286,30.8181818181818,28.9448051948052,10383620
38,North Dakota,30,0.039953682936599,0,0,28,0.037290104074159,0,0,2,0.00266357886244,35000,150000,92500,0,0,0,760077
39,Ohio,1207,0.104735995467699,45,0.003904821703435,871,0.075579993415382,145,0.012582203266625,146,0.012668977082257,52457.2842105263,69018.2433862434,60737.7637983849,18.469387755102,23.5760869565217,21.0227373558119,11689442
40,Oklahoma,80,0.020592374398696,2,0.000514809359967,73,0.01879054163881,2,0.000514809359967,3,0.000772214039951,51000,57666.6666666667,54333.3333333333,21.5,24.6666666666667,23.0833333333333,3943079
41,Oregon,30,0.007235706358597,0,0,24,0.005788565086877,5,0.001205951059766,1,0.000241190211953,0,0,0,22.6666666666667,15.5,19.0833333333333,4190713
42,Pennsylvania,645,0.051051928196766,10,0.000791502762741,586,0.046382061896597,30,0.002374508288222,19,0.001503855249207,45934.4888888889,62689.8222222222,54312.1555555556,22.2608695652174,27.5555555555556,24.9082125603865,12807060
44,Rhode Island,18,0.017230025766409,1,0.000957223653689,14,0.013401131151651,2,0.001914447307379,1,0.000957223653689,76000,87000,81500,12.5,15.5,14,1057315
45,South Carolina,120,0.023868433962124,5,0.000994518081755,106,0.02108378333321,2,0.000397807232702,7,0.001392325314457,68037.6666666667,93955.3571428571,80996.5119047619,21.6923076923077,31.9090909090909,26.8006993006993,5084127
46,South Dakota,24,0.027227695038275,1,0.001134487293261,21,0.023824233158491,2,0.002268974586523,0,0,0,0,0,8,9,8.5,882235
47,Tennessee,358,0.053492459398367,9,0.001344782498842,302,0.045124923850019,12,0.001793043331789,35,0.005229709717717,50029.2571428571,71116.1428571429,60572.7,15.5862068965517,19.1379310344828,17.3620689655172,6770010
48,Texas,1868,0.065021592185154,50,0.001740406643072,1514,0.052699513152207,222,0.007727405495238,82,0.002854266894637,60916.8135048231,83828.8080808081,72372.8107928156,21.6301369863014,29.5619834710744,25.5960602286879,29206997
49,Utah,94,0.0299930078156,2,0.00063814910246,82,0.026164113200843,4,0.001276298204919,6,0.001914447307379,65000,86000,75500,50,39.5,44.75,3161105
50,Vermont,8,0.012897329228657,0,0,8,0.012897329228657,0,0,0,0,0,0,0,0,0,0,626299
51,Virginia,164,0.019470967963418,4,0.000474901657644,137,0.016265381774319,17,0.002018332044988,6,0.000712352486467,58161.2903225807,76080.6451612903,67120.9677419355,16.3333333333333,18.6666666666667,17.5,8517685
53,Washington,227,0.030496809738594,9,0.001209124615187,186,0.024988575380522,18,0.002418249230373,14,0.001880860512512,60654.5555555556,92109,76381.7777777778,21.5333333333333,25.3571428571429,23.4452380952381,7535591
54,West Virginia,40,0.022277205031316,1,0.000556930125783,38,0.02116334477975,0,0,1,0.000556930125783,48250,70750,59500,0,0,0,1805832
55,Wisconsin,397,0.069094143729941,29,0.005047179264908,314,0.054648768592447,31,0.005395260593522,23,0.004002935279065,53871.9393939394,80536.4285714286,67204.183982684,16.0434782608696,21.8695652173913,18.9565217391304,5813568
56,Wyoming,8,0.014414662079087,0,0,7,0.012612829319201,1,0.001801832759886,0,0,0,125000,62500,45,55,50,577737
